"tree","truev","ucld","arc6","arc7"
40,1988.37903307845,1989.24554802485,1988.87545887475,1988.30757546527
41,1992.86322366229,1990.57926118744,1991.60486246519,1991.3777733365
42,1994.58894081404,1992.14067297099,1994.01643511188,1994.02512655896
43,1996.89198255574,1994.86026968128,1996.11817048404,1995.70902457705
44,1994.8624550323,1993.24000468877,1995.8109331269,1995.58061768716
45,1992.83864134533,1991.52077306061,1992.0455217048,1991.54406715709
46,1992.37787783202,1985.81313724232,1987.70664516179,1987.39263820775
47,1987.26264148029,1992.7785136614,1993.07844443374,1992.50533330711
48,1995.49369678851,1993.26829624386,1995.70205293243,1995.59306692258
49,1979.67991365313,1985.17094863867,1977.74818871585,1973.15992340587
50,1994.28127238865,1991.72810552522,1995.094182307,1994.68211279818
51,1987.47151518651,1988.13148011093,1987.01219465571,1986.57585189038
52,1996.93835315588,1991.23630432588,1994.63505758849,1994.23838981757
53,1993.74782793358,1992.9818599113,1996.34900427659,1995.76475647912
54,1993.54338519981,1991.65395917151,1994.7575980453,1994.13130817566
55,1988.05400162243,1989.20538320048,1983.8888364325,1982.3774459172
56,1986.38123422171,1989.90453933628,1991.49096636458,1990.22266463699
57,1991.90018861078,1991.42973655099,1989.96002716419,1989.75784617916
58,1994.38082441995,1989.55180551516,1993.0293565486,1992.58345209023
59,1991.26246146747,1986.58986214143,1991.59440858864,1989.74241837835
60,1987.85412750201,1988.59790328762,1983.16160583018,1982.70143770913
61,1992.03514423925,1988.31666688955,1992.82042690202,1992.2800959991
62,1978.28636218489,1984.75298583834,1981.25173570105,1977.90862459681
63,1994.82866433756,1992.28404032289,1996.30518260987,1995.8249658243
64,1986.11880328942,1988.52606556079,1984.67665364434,1982.84801383337
65,1996.65217585605,1993.6262262443,1996.95923695363,1996.82862200374
66,1993.69839692813,1989.99191988404,1991.54090773421,1990.54981827124
67,1995.16952978007,1988.59013299475,1993.47767685751,1993.6287847014
68,1991.75122460761,1988.58894009363,1989.52981214355,1989.50973011297
69,1993.62767505501,1990.81002902882,1992.80205787991,1992.33852083467
70,1988.95096916697,1993.45869051689,1990.60212454299,1988.89578301697
71,1997.58793207508,1992.16115992532,1996.58642899153,1995.86714424531
72,1983.44653048468,1988.28268762103,1985.31215291729,1983.49092797997
73,1993.79859109526,1987.59610865222,1989.77884895741,1989.23257851063
74,1995.45917866514,1993.7397541877,1995.15579555035,1994.37667437548
75,1992.60003550772,1990.86418526551,1992.75136176444,1992.39836685886
76,1996.31372968033,1993.07535784608,1995.90724882164,1994.95716090809
77,1993.83394162606,1990.86701391221,1989.1044920789,1987.60993542978
78,1992.64483576273,1989.53079468515,1994.60739895046,1993.23779647356
79,1995.2723623494,1992.69287983904,1995.85314871102,1994.83822949928
80,1991.95382592549,1991.00117102882,1991.79669156219,1990.159654053
81,1994.09562215555,1991.42061680435,1994.26462197449,1993.58687621643
82,1986.39565961769,1988.14188906325,1990.57503004037,1988.99138637985
83,1990.27596450739,1989.55969965439,1988.95516629533,1987.65106259924
84,1980.17880135,1988.97580074618,1988.24927915007,1986.88093441966
85,1990.78666347065,1990.8110853559,1992.52205513832,1991.57603855614
86,1992.40191371382,1990.57045748135,1994.15484180623,1992.53117422452
87,1993.43242102665,1991.69682861742,1991.85963068324,1991.08327803706
88,1995.00450178832,1990.72850590795,1993.3886823957,1991.7742833125
89,1989.85664797561,1991.91372994458,1993.37906722092,1991.90659291899
90,1988.84650644969,1989.95073888283,1990.54600227635,1990.032904125
91,1997.06882032271,1992.37803472597,1996.57496566674,1996.321817278
92,1993.41736796509,1991.78130945215,1993.63076798274,1992.57740682484
93,1991.84190207918,1994.64738667139,1997.14997183572,1996.82066898258
94,1994.94822363333,1990.94449002063,1994.00018480329,1993.56138719761
95,1992.64794126253,1990.92347149231,1991.98953147003,1991.47207185962
96,1981.8169718745,1987.62146178317,1982.89153068822,1980.44104936376
97,1996.17929789577,1988.89933926127,1993.47885194896,1992.20835036677
98,1984.46865715763,1986.14320271158,1986.21828779645,1984.54409745545
99,1992.04395671505,1990.69144911579,1991.46182113798,1990.55302481702
100,1992.35663054229,1994.4006347585,1993.1513464332,1992.52917001303
