"arate.mean","arate.sd","arate.l","arate.u","arate.q5","arate.q95","aomega.mean","aomega.sd","aomega.l","aomega.u","aomega.q5","aomega.q95"
0.000536549846474849,3.88904674896526e-05,0.000459370262805489,0.000611605819915193,0.000475271494311926,0.000602371565927909,1.00910277282867,0.281599290951106,0.504488206480796,1.59254401368439,0.593205158871844,1.51131434967605
0.000486469692701802,4.21737153762239e-05,0.000402430828910757,0.00056602371492597,0.000421543341594501,0.000557914402184425,1.11737249705218,0.313461986488906,0.536347886642492,1.73848001017652,0.654043349570861,1.67293673320586
0.000533650054197714,4.45518968938221e-05,0.0004484749632818,0.000620576051051778,0.000462199645936895,0.00060993992561114,1.43928245324749,0.357595120909746,0.795011556357451,2.15958589528949,0.910461118475973,2.06541547551631
0.000509411870803549,4.35865402666948e-05,0.000421362957203007,0.000591788839913051,0.000439859873206043,0.000582351315579261,1.41840296648531,0.353951616581852,0.772393730901495,2.13520085151198,0.90669691113241,2.05857899441123
0.000536266732636542,3.80817754210269e-05,0.000463658838708208,0.000612706112673191,0.000475706533351655,0.000601577781198116,0.959362365456108,0.276297867130896,0.442255336859542,1.5139776702302,0.539608828220033,1.44247134398349
0.000479475111995484,4.2452677693773e-05,0.000399555760628852,0.000565707665003486,0.000413980427823351,0.000552080254510269,2.23807998042522,0.471349087239785,1.39341157817888,3.18514260915946,1.54589001209211,3.07021952407234
0.000600218727889502,4.72921386029712e-05,0.000508567278413065,0.000691885565357846,0.000523470119403649,0.000680264654082692,1.74436816402364,0.394444846850367,1.04126735839123,2.55121978577004,1.17388453864149,2.44994546888663
0.000539345829455115,4.28204924285645e-05,0.000460245388182629,0.000627209649680811,0.000470996843780688,0.000612019818676896,1.97676850989386,0.401019094634777,1.24802979039752,2.78915898812229,1.38087905365639,2.6803504090193
0.000511287772146286,4.37261446367034e-05,0.000425681929414029,0.000597391781393679,0.000441414355683818,0.000584834435999709,2.05675699651516,0.444359019315331,1.26062796811606,2.93704922314424,1.39845415888397,2.85530555352222
0.000509108245538219,4.84960759595237e-05,0.000418442374519187,0.000605048926583287,0.000432268105868972,0.000591094714904725,2.57957213944126,0.526447668296481,1.65821895537073,3.66352233583993,1.81671659447909,3.52495977948261
0.00042687940528594,3.98809618175507e-05,0.000350967134487201,0.000507221704576599,0.000364505929316798,0.000496475369952071,1.64937360245133,0.395704284721309,0.923522731239471,2.45835043198851,1.06003423345431,2.35784652736156
0.000484711319430125,4.33787151741342e-05,0.000403779468664975,0.000574312944253769,0.000416076976357773,0.000559675692437425,1.6314836480744,0.388024711183402,0.888806764862993,2.37550633543931,1.05604161273515,2.32006670818886
0.0004502052312729,4.58469822043922e-05,0.000366807825968415,0.000544807925245118,0.000378248951087664,0.000528221008049842,2.52010065091181,0.508032532719347,1.61613976213342,3.55701540230375,1.77284778083088,3.43380177254691
