#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="coalescent" spec="beast.evolution.tree.coalescent.Coalescent">
#        <populationModel id="ConstantPopulation" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#            <parameter id="popSize" name="popSize" spec="beast.core.parameter.RealParameter">1.0</parameter>
#        </populationModel>
#        <treeIntervals id="TreeIntervals" spec="beast.evolution.tree.coalescent.TreeIntervals">
#            <tree clusterType="upgma" id="tree" spec="beast.util.ClusterTree">
#            </tree>
#        </treeIntervals>
#    </distribution>
#    <distribution data="@alignment" id="treeLikelihood" spec="beast.evolution.likelihood.TreeLikelihood" tree="@tree">
#        <siteModel id="siteModel" spec="beast.evolution.sitemodel.SiteModel">
#            <substModel id="hky" spec="beast.evolution.substitutionmodel.HKY">
#                <parameter id="hky.kappa" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <frequencies data="@alignment" id="freqs" spec="beast.evolution.substitutionmodel.Frequencies"/>
#            </substModel>
#        </siteModel>
#        <branchRateModel id="branchRates" spec="beast.evolution.branchratemodel.RandomLocalClockModel" tree="@tree">
#            <indicators dimension="10" id="indicators" spec="beast.core.parameter.BooleanParameter">false</indicators>
#            <parameter dimension="10" id="rates" lower="0.0" name="rates" spec="beast.core.parameter.RealParameter" upper="100.0">1.0</parameter>
#        </branchRateModel>
#    </distribution>
#</input>
#
Sample	coalescent	treeLikelihood	tree.height	popSize	hky.kappa	indicators1	indicators2	indicators3	indicators4	indicators5	indicators6	indicators7	indicators8	indicators9	indicators10	rates1	rates2	rates3	rates4	rates5	rates6	rates7	rates8	rates9	rates10	posterior
2000	6.096921400740929	-1815.5164962344647	0.06049094437012637	0.20868946407428046	16.77515755820617	0	0	0	0	0	0	0	0	0	0	0.9210060227141168	2.9290497007619583	5.424511544807508	1.7815516259620412	0.8792388705967774	2.366913046067314	1.8753290218176695	1.0051888500651722	1.1515181260690612	1.8788395491894683	-1809.4195748337238
2100	6.32594182443262	-1815.2561115691924	0.07169797675358384	0.16626814331752302	19.367098569285414	0	0	0	0	0	0	0	0	0	0	0.9210060227141168	2.9290497007619583	5.424511544807508	1.6789409911996236	0.8792388705967774	1.623827616931089	1.8753290218176695	1.0051888500651722	1.13755471601827	1.8788395491894683	-1808.9301697447597
2200	6.897941950049126	-1817.536778546489	0.06408552883206427	0.16626814331752302	27.387902785326528	0	0	0	0	0	0	0	0	0	0	0.9210060227141168	2.9290497007619583	5.424511544807508	1.8201071354503577	0.5933070526719008	1.623827616931089	4.483239806870944	1.53336322607643	1.13755471601827	1.898011533951708	-1810.63883659644
2300	3.451171037036787	-1815.300570047178	0.057396069395758566	0.41617224810489667	18.47371761923108	0	0	0	0	0	0	0	0	0	0	0.9210060227141168	2.9290497007619583	5.424511544807508	1.8201071354503577	0.5854015558305061	1.0238358759883819	4.483239806870944	1.53336322607643	1.13755471601827	1.898011533951708	-1811.8493990101413
2400	6.592014096448496	-1816.07325162683	0.06200857764037315	0.13103429407946687	23.339697630823473	0	0	0	0	0	0	0	0	0	0	0.8730279003195743	1.7556512079065298	5.424511544807508	1.8201071354503577	0.35838990726758624	1.0238358759883819	4.483239806870944	0.8602108945599553	1.13755471601827	1.1625144327506178	-1809.4812375303813
2500	7.500872113807906	-1814.884200252215	0.057988586484938605	0.07859850051402066	18.35635294978045	0	0	0	0	0	0	0	0	0	0	0.7366669854459179	1.7556512079065298	5.424511544807508	1.9070446306108044	0.35838990726758624	1.0238358759883819	3.187750656946538	0.8602108945599553	1.13755471601827	1.1625144327506178	-1807.383328138407
2600	5.302903754437258	-1814.2434094181776	0.057988586484938605	0.2426936110440571	29.33809533963117	0	0	0	0	0	0	0	0	0	0	0.7366669854459179	1.7556512079065298	5.424511544807508	1.9070446306108044	0.5493627895066097	1.0238358759883819	2.6483056298101926	0.8602108945599553	1.1958631494635208	0.9682470060085564	-1808.9405056637404
2700	6.185345922514438	-1816.415591599371	0.059682148435298316	0.21158650238357907	32.99675756305633	0	0	0	1	0	0	0	0	0	0	0.7366669854459179	1.7449101434197685	5.424511544807508	1.9070446306108044	0.5493627895066097	1.424200053698315	2.6483056298101926	0.8602108945599553	1.1958631494635208	0.9682470060085564	-1810.2302456768566
2800	7.808100954519777	-1821.154520547368	0.05640116084987409	0.13167165159767694	18.84839760307843	0	0	0	1	0	0	0	0	1	0	0.4728411018553114	1.7449101434197685	4.189155646819169	1.9070446306108044	0.5493627895066097	1.424200053698315	2.6483056298101926	0.8602108945599553	0.8043472451942553	0.9682470060085564	-1813.3464195928482
2900	2.363629609177175	-1814.818816749016	0.05640116084987409	0.522354054160974	32.88629488649994	0	0	0	0	0	0	0	0	1	0	0.4728411018553114	1.6894611419009729	4.189155646819169	3.4457446183550573	1.0282617921993165	1.424200053698315	3.20295216698999	0.8602108945599553	0.8043472451942553	1.8227457265437386	-1812.4551871398387
