#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:1" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:1" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:1" spec="beast.evolution.tree.Tree">
#                <trait id="dateTrait.t:1" spec="beast.evolution.tree.TraitSet" traitname="date" value="2_2000.1=2000.1,17_2001.6=2001.6,18_2001.7=2001.7,21_2002=2002,24_2002.3=2002.3,26_2002.5=2002.5,5_2000.4=2000.4,7_2000.6=2000.6,4_2000.3=2000.3,13_2001.2=2001.2,15_2001.4=2001.4,16_2001.5=2001.5,1_2000=2000,8_2000.7=2000.7,3_2000.2=2000.2,12_2001.1=2001.1,22_2002.1=2002.1,32_2003.1=2003.1,28_2002.7=2002.7,43_2004.2=2004.2,46_2004.5=2004.5,55_2005.4=2005.4,63_2006.2=2006.2,65_2006.4=2006.4,66_2006.5=2006.5,67_2006.6=2006.6,23_2002.2=2002.2,10_2000.9=2000.9,14_2001.3=2001.3,33_2003.2=2003.2,39_2003.8=2003.8,34_2003.3=2003.3,44_2004.3=2004.3,48_2004.7=2004.7,53_2005.2=2005.2,52_2005.1=2005.1,58_2005.7=2005.7,9_2000.8=2000.8,6_2000.5=2000.5,11_2001=2001,25_2002.4=2002.4,20_2001.9=2001.9,47_2004.6=2004.6,36_2003.5=2003.5,45_2004.4=2004.4,50_2004.9=2004.9,42_2004.1=2004.1,51_2005=2005,35_2003.4=2003.4,37_2003.6=2003.6,57_2005.6=2005.6,59_2005.8=2005.8,61_2006=2006,62_2006.1=2006.1,41_2004=2004,40_2003.9=2003.9,49_2004.8=2004.8,74_2007.3=2007.3,77_2007.6=2007.6,68_2006.7=2006.7,70_2006.9=2006.9,81_2008=2008,19_2001.8=2001.8,27_2002.6=2002.6,29_2002.8=2002.8,30_2002.9=2002.9,31_2003=2003,38_2003.7=2003.7,56_2005.5=2005.5,69_2006.8=2006.8,82_2008.1=2008.1,80_2007.9=2007.9,83_2008.2=2008.2,87_2008.6=2008.6,71_2007=2007,75_2007.4=2007.4,72_2007.1=2007.1,91_2009=2009,88_2008.7=2008.7,94_2009.3=2009.3,98_2009.7=2009.7,79_2007.8=2007.8,84_2008.3=2008.3,78_2007.7=2007.7,76_2007.5=2007.5,89_2008.8=2008.8,93_2009.2=2009.2,96_2009.5=2009.5,97_2009.6=2009.6,95_2009.4=2009.4,100_2009.9=2009.9,54_2005.3=2005.3,60_2005.9=2005.9,64_2006.3=2006.3,73_2007.2=2007.2,86_2008.5=2008.5,85_2008.4=2008.4,90_2008.9=2008.9,99_2009.8=2009.8,92_2009.1=2009.1,101_2010=2010">
#                    <taxa id="TaxonSet.1" spec="beast.evolution.alignment.TaxonSet">
#                    </taxa>
#                </trait>
#                <taxonset idref="TaxonSet.1"/>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:1" name="distribution" x="@birthRate.t:1">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="KappaPrior.s:1" name="distribution">
#            <parameter id="kappa.s:1" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="rateOmega.prior" name="distribution">
#            <parameter id="rateOmega" lower="0.01" name="x" spec="beast.core.parameter.RealParameter" upper="0.2">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="rateOmega.alpha" name="alpha" spec="beast.core.parameter.RealParameter">0.1</parameter>
#                <parameter estimate="false" id="rateOmega.beta" name="beta" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@1" id="treeLikelihood.1" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:1">
#            <siteModel id="SiteModel.s:1" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:1" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:1" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:1" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:1" kappa="@kappa.s:1" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:1" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:1" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="branchRates" numberOfDiscreteRates="12" rateOmega="@rateOmega" spec="beast.evolution.branchratemodel.ARClockModel" tree="@Tree.t:1">
#                <rateCategories dimension="200" id="rateCategories" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter id="rateMean" name="rateMean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	kappa	rateOmega	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
25000	-17139.31756418778	-16867.411512740648	-271.9060514471297	-16867.411512740648	10.067246805737087	-268.48886318907057	0.18462081038891415	3.4930751315634505	0.19999632299766376	0.2354965707888519	0.24436090787798964	0.23396083266234433	0.2861816886708141
26000	-17117.212437400503	-16844.631840043625	-272.58059735687857	-16844.631840043625	10.067246805737087	-269.16340909881944	0.16490127633611398	3.4930751315634505	0.19999632299766376	0.2354965707888519	0.24436090787798964	0.23396083266234433	0.2861816886708141
27000	-17085.679665340213	-16813.210505607585	-272.46915973262895	-16813.210505607585	10.067246805737087	-268.93755867900467	0.16875023737221917	3.845209069551158	0.19999632299766376	0.2354965707888519	0.24436090787798964	0.23396083266234433	0.2861816886708141
28000	-17060.765235235416	-16787.89252480796	-272.8727104274559	-16787.89252480796	10.067246805737087	-269.3411093738316	0.21058696189137235	3.845209069551158	0.19999632299766376	0.2354965707888519	0.24436090787798964	0.23396083266234433	0.2861816886708141
29000	-16988.971856842276	-16716.61662246478	-272.3552343774983	-16716.61662246478	10.067246805737087	-268.823633323874	0.200685209096852	3.845209069551158	0.19999632299766376	0.2354965707888519	0.24436090787798964	0.23396083266234433	0.2861816886708141
30000	-16858.491141521707	-16586.343138975808	-272.1480025458987	-16586.343138975808	10.067246805737087	-268.6164014922744	0.19696856378285102	3.845209069551158	0.19999632299766376	0.22760619931091275	0.24436090787798964	0.24185120414028347	0.2861816886708141
31000	-16802.908774327447	-16530.8350350935	-272.07373923394783	-16530.8350350935	10.05729937041123	-268.54213818032355	0.1770780914780088	3.845209069551158	0.19999632299766376	0.2305297713798704	0.24436090787798964	0.2389276320713258	0.2861816886708141
32000	-16769.46833760232	-16497.50481347086	-271.96352413146127	-16497.50481347086	10.05729937041123	-268.431923077837	0.18803489321404696	3.845209069551158	0.19999632299766376	0.2305297713798704	0.24436090787798964	0.2389276320713258	0.2861816886708141
33000	-16746.80862484939	-16474.704142451974	-272.10448239741544	-16474.704142451974	10.05729937041123	-268.57288134379115	0.19528918371714626	3.845209069551158	0.19999632299766376	0.2305297713798704	0.24436090787798964	0.2389276320713258	0.2861816886708141
34000	-16746.887395324626	-16474.87830314308	-272.0090921815474	-16474.87830314308	10.05729937041123	-268.4774911279231	0.19089668615311395	3.845209069551158	0.19999632299766376	0.2305297713798704	0.24436090787798964	0.2389276320713258	0.2861816886708141
35000	-16728.904223224887	-16456.637918534023	-272.26630469086433	-16456.637918534023	10.05729937041123	-268.73470363724005	0.19964510521002732	3.845209069551158	0.19999632299766376	0.2305297713798704	0.24436090787798964	0.2389276320713258	0.2861816886708141
36000	-16712.18642144669	-16440.196057569196	-271.990363877496	-16440.196057569196	10.05729937041123	-268.4587628238717	0.19324567247002078	3.845209069551158	0.19999632299766376	0.23079594608635373	0.2494085386558948	0.23361382658693733	0.2861816886708141
37000	-16627.629860810805	-16355.711738533586	-271.91812227721715	-16355.711738533586	10.05729937041123	-268.38652122359287	0.18614654332720926	3.845209069551158	0.19999632299766376	0.22897044537580183	0.2512340393664467	0.23361382658693733	0.2861816886708141
38000	-16614.61040084583	-16342.297174862051	-272.3132259837819	-16342.297174862051	10.05729937041123	-268.7816249301576	0.16977769395841494	3.845209069551158	0.19999632299766376	0.22897044537580183	0.2512340393664467	0.23361382658693733	0.2861816886708141
39000	-16395.80283263638	-16123.88235655554	-271.92047608083953	-16123.88235655554	10.05729937041123	-268.38887502721525	0.17911372344868864	3.845209069551158	0.19999632299766376	0.22897044537580183	0.2512340393664467	0.23361382658693733	0.2861816886708141
40000	-16284.609192186208	-16012.146502051175	-272.46269013503235	-16012.146502051175	10.05729937041123	-268.93108908140806	0.20731394732273273	3.845209069551158	0.19999632299766376	0.22897044537580183	0.2512340393664467	0.23361382658693733	0.2861816886708141
41000	-16233.062443132516	-15960.532533782856	-272.529909349659	-15960.532533782856	10.05729937041123	-268.99830829603474	0.20788763326845497	3.845209069551158	0.19999632299766376	0.22897044537580183	0.2512340393664467	0.2254951670506398	0.29430034820711165
42000	-16181.027025819474	-15909.1372401565	-271.8897856629744	-15909.1372401565	10.05729937041123	-268.35818460935013	0.1813449415779954	3.845209069551158	0.19999632299766376	0.22491659080369195	0.2552878939385566	0.2254951670506398	0.29430034820711165
43000	-16055.567941671266	-15783.7064251949	-271.86151647636717	-15783.7064251949	10.05729937041123	-268.3299154227429	0.18293296681918056	3.845209069551158	0.19999632299766376	0.22382955141777097	0.2552878939385566	0.2254951670506398	0.2953873875930326
44000	-15899.15878582555	-15627.34700183123	-271.8117839943205	-15627.34700183123	10.05729937041123	-268.2801829406962	0.1867663255586294	3.845209069551158	0.19999632299766376	0.2220017303921902	0.2571157149641374	0.2254951670506398	0.2953873875930326
45000	-15875.81714760818	-15603.85621362534	-271.96093398284023	-15603.85621362534	10.05729937041123	-268.4297962551962	0.17597293132902334	3.845209069551158	0.19991209769216925	0.2220017303921902	0.2571157149641374	0.2254951670506398	0.2953873875930326
46000	-15779.583370982973	-15507.519686326586	-272.06368465638707	-15507.519686326586	10.055102190116765	-268.8289368170624	0.16592639256427613	2.963984687673057	0.19991209769216925	0.2220017303921902	0.2571157149641374	0.2254951670506398	0.2953873875930326
47000	-15755.313310646443	-15482.394564222379	-272.91874642406447	-15482.394564222379	10.052971311914382	-269.516093607678	0.1573005925793145	3.4508333667817688	0.19991209769216925	0.2220017303921902	0.2571157149641374	0.2254951670506398	0.2953873875930326
48000	-15730.419335861661	-15458.460653953625	-271.95868190803645	-15458.460653953625	10.052971311914382	-268.55602909165	0.20234936329006428	3.4508333667817688	0.19991209769216925	0.2220017303921902	0.2571157149641374	0.2214960962570753	0.2993864583865971
