#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:1" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:1" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:1">
#                <trait id="dateTrait.t:1" spec="beast.evolution.tree.TraitSet" traitname="date" value="2_2000.1=2000.1,17_2001.6=2001.6,18_2001.7=2001.7,21_2002=2002,24_2002.3=2002.3,26_2002.5=2002.5,5_2000.4=2000.4,7_2000.6=2000.6,4_2000.3=2000.3,13_2001.2=2001.2,15_2001.4=2001.4,16_2001.5=2001.5,1_2000=2000,8_2000.7=2000.7,3_2000.2=2000.2,12_2001.1=2001.1,22_2002.1=2002.1,32_2003.1=2003.1,28_2002.7=2002.7,43_2004.2=2004.2,46_2004.5=2004.5,55_2005.4=2005.4,63_2006.2=2006.2,65_2006.4=2006.4,66_2006.5=2006.5,67_2006.6=2006.6,23_2002.2=2002.2,10_2000.9=2000.9,14_2001.3=2001.3,33_2003.2=2003.2,39_2003.8=2003.8,34_2003.3=2003.3,44_2004.3=2004.3,48_2004.7=2004.7,53_2005.2=2005.2,52_2005.1=2005.1,58_2005.7=2005.7,9_2000.8=2000.8,6_2000.5=2000.5,11_2001=2001,25_2002.4=2002.4,20_2001.9=2001.9,47_2004.6=2004.6,36_2003.5=2003.5,45_2004.4=2004.4,50_2004.9=2004.9,42_2004.1=2004.1,51_2005=2005,35_2003.4=2003.4,37_2003.6=2003.6,57_2005.6=2005.6,59_2005.8=2005.8,61_2006=2006,62_2006.1=2006.1,41_2004=2004,40_2003.9=2003.9,49_2004.8=2004.8,74_2007.3=2007.3,77_2007.6=2007.6,68_2006.7=2006.7,70_2006.9=2006.9,81_2008=2008,19_2001.8=2001.8,27_2002.6=2002.6,29_2002.8=2002.8,30_2002.9=2002.9,31_2003=2003,38_2003.7=2003.7,56_2005.5=2005.5,69_2006.8=2006.8,82_2008.1=2008.1,80_2007.9=2007.9,83_2008.2=2008.2,87_2008.6=2008.6,71_2007=2007,75_2007.4=2007.4,72_2007.1=2007.1,91_2009=2009,88_2008.7=2008.7,94_2009.3=2009.3,98_2009.7=2009.7,79_2007.8=2007.8,84_2008.3=2008.3,78_2007.7=2007.7,76_2007.5=2007.5,89_2008.8=2008.8,93_2009.2=2009.2,96_2009.5=2009.5,97_2009.6=2009.6,95_2009.4=2009.4,100_2009.9=2009.9,54_2005.3=2005.3,60_2005.9=2005.9,64_2006.3=2006.3,73_2007.2=2007.2,86_2008.5=2008.5,85_2008.4=2008.4,90_2008.9=2008.9,99_2009.8=2009.8,92_2009.1=2009.1,101_2010=2010">
#                    <taxa id="TaxonSet.1" spec="beast.evolution.alignment.TaxonSet">
#                    </taxa>
#                </trait>
#                <taxonset idref="TaxonSet.1"/>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:1" name="distribution" x="@birthRate.t:1">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="KappaPrior.s:1" name="distribution">
#            <parameter id="kappa.s:1" lower="0.0" name="x">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="MeanRatePrior.c:1" name="distribution">
#            <parameter id="ucldMean.c:1" lower="0.8" name="x" upper="1.2">1.0</parameter>
#            <Uniform id="Uniform.3" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:1" name="distribution">
#            <parameter id="ucldStdev.c:1" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.1" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="alpha">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.7" name="beta">2.0</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@1" id="treeLikelihood.1" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:1">
#            <siteModel id="SiteModel.s:1" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:1" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:1" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:1" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:1" kappa="@kappa.s:1" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:1" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:1" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@ucldMean.c:1" id="RelaxedClock.c:1" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:1">
#                <LogNormal S="@ucldStdev.c:1" id="LogNormalDistributionModel.c:1" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.3" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="200" id="rateCategories.c:1" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	kappa	ucldMean	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
19000	-12631.881228816443	-12343.63965371643	-288.24157510001345	-12343.63965371643	14.088089818721265	-284.1532177655756	0.15286374261390245	3.2301525442446333	0.8094904587087017	2.851643688170648	0.01818444475849089	2.335350343790524	5.418931746146618	0.2233974463344433	0.26287999941942336	0.23197146613170955	0.2817510881144238
20000	-12456.832978012162	-12169.123363162515	-287.70961484964727	-12169.123363162515	13.658064790648616	-283.62125751520944	0.14839135737227435	3.2301525442446333	0.8094904587087017	2.851643688170648	0.017296223047359192	2.3328241633973756	5.503897364929826	0.2233974463344433	0.26287999941942336	0.23197146613170955	0.2817510881144238
21000	-12353.730954088054	-12064.209784144048	-289.5211699440069	-12064.209784144048	15.70525522712686	-285.42924397667366	0.14674685279286365	3.2301525442446333	0.8094904587087017	2.875312698733705	0.015309308635411297	2.2953036134255007	5.558515876048997	0.2233974463344433	0.26287999941942336	0.23197146613170955	0.2817510881144238
22000	-12306.593985013353	-12015.995357318507	-290.59862769484533	-12015.995357318507	18.81334478218833	-286.4717689215213	0.1522343910044165	3.3324519119820097	0.8094904587087017	2.875312698733705	0.015084802485294022	2.2951149156937727	5.534943447870531	0.2233974463344433	0.2663073497438397	0.22854411580729322	0.2817510881144238
23000	-12235.997159680219	-11945.706296112903	-290.290863567316	-11945.706296112903	15.299614702193251	-286.164004793992	0.17423454908781655	3.3324519119820097	0.8094904587087017	2.875312698733705	0.015770574954790943	2.2955104549942558	5.557408527923288	0.2233974463344433	0.2663073497438397	0.22854411580729322	0.2817510881144238
24000	-12225.152757545013	-11935.583166265315	-289.56959127969856	-11935.583166265315	14.786440064095272	-285.3367753874707	0.1636207707364985	3.651292439876919	0.8094904587087017	2.875312698733705	0.01574611001387992	2.295079215753599	5.573116315783148	0.2233974463344433	0.2663073497438397	0.22854411580729322	0.2817510881144238
25000	-12159.949707252976	-11870.418943400591	-289.53076385238467	-11870.418943400591	15.612211370415478	-285.2978250449216	0.15518095320029857	3.651292439876919	0.8094904587087017	2.876119967803403	0.015143909524092315	2.284793179359506	5.61355918279456	0.2233974463344433	0.2663073497438397	0.22854411580729322	0.2817510881144238
26000	-12144.137452050803	-11852.981816729322	-291.15563532148235	-11852.981816729322	14.883133866325593	-286.9226965140192	0.13119570950552384	3.651292439876919	0.8094904587087017	2.876119967803403	0.015418227722969151	2.285418962882726	5.604875040979543	0.2233974463344433	0.2740111861402834	0.2208402794108495	0.2817510881144238
27000	-12126.157075138493	-11836.286145233345	-289.870929905147	-11836.286145233345	14.411737080349472	-285.63799109768394	0.15017399530578862	3.651292439876919	0.8094904587087017	2.876119967803403	0.015283751566417297	2.2867892370089113	5.631823312441225	0.2233974463344433	0.2740111861402834	0.2208402794108495	0.2817510881144238
28000	-11977.596270924643	-11685.876217978837	-291.72005294580595	-11685.876217978837	15.944268494508185	-287.4833778100899	0.13025003924330592	3.651292439876919	0.806363246570924	2.900418156419535	0.014401786937639563	2.214473843825466	5.685084888148398	0.2233974463344433	0.2740111861402834	0.2208402794108495	0.2817510881144238
29000	-11939.875076207945	-11650.186294648158	-289.68878155978734	-11650.186294648158	13.015145715174292	-285.4507444138244	0.15627410873516823	3.651292439876919	0.806363246570924	2.90916351795197	0.014342391830601313	2.202726265112346	5.659846896336641	0.22405213985721514	0.27696839665323053	0.21722837537513054	0.2817510881144238
30000	-11931.636246075088	-11641.520391946882	-290.115854128205	-11641.520391946882	13.052047776641901	-285.87781698224205	0.16290417576527483	3.651292439876919	0.806363246570924	2.90916351795197	0.013955313247457024	2.1931794110506715	5.6926572921420995	0.22380249470700453	0.27696839665323053	0.21747802052534115	0.2817510881144238
31000	-11903.523750046004	-11613.156999423714	-290.36675062228994	-11613.156999423714	13.834487596023997	-286.128713476327	0.1553275778592034	3.651292439876919	0.806363246570924	2.90916351795197	0.013849343376291477	2.251811431446298	5.595077246430331	0.22380249470700453	0.27696839665323053	0.21747802052534115	0.2817510881144238
32000	-11888.283574798768	-11597.825264072484	-290.45831072628357	-11597.825264072484	13.38624917909598	-286.2202735803206	0.14505597608617943	3.651292439876919	0.806363246570924	2.90916351795197	0.01371812461536559	2.2811397007700713	5.549615494315694	0.22380249470700453	0.27696839665323053	0.21747802052534115	0.2817510881144238
33000	-11870.399885759778	-11580.22947858905	-290.17040717072814	-11580.22947858905	13.38624917909598	-285.93237002476525	0.15010839862302455	3.651292439876919	0.806363246570924	2.90916351795197	0.014002201311872287	2.252011902246493	5.603797828521683	0.22380249470700453	0.28109601706562004	0.21335040011295162	0.2817510881144238
34000	-11863.132054792222	-11573.603566182237	-289.5284886099862	-11573.603566182237	13.38624917909598	-285.29045146402325	0.1481398578399061	3.651292439876919	0.806363246570924	2.90916351795197	0.0144290994372263	2.252189321851181	5.622585809793452	0.22380249470700453	0.28109601706562004	0.21335040011295162	0.2817510881144238
35000	-11853.068177110134	-11563.369246418108	-289.698930692025	-11563.369246418108	13.38624917909598	-285.46089354606204	0.14537319375621394	3.651292439876919	0.8274917097491016	2.90916351795197	0.014364430233700114	2.340479955435876	5.681624445129799	0.22380249470700453	0.28109601706562004	0.21335040011295162	0.2817510881144238
36000	-11866.95329579307	-11577.159723015358	-289.7935727777119	-11577.159723015358	13.384967524562187	-285.55553563174897	0.15313797486087571	3.651292439876919	0.8274917097491016	2.90916351795197	0.014191982183723537	2.3395594864043585	5.695521337707279	0.21399452952027173	0.28109601706562004	0.2231583652996844	0.2817510881144238
37000	-11851.580799857595	-11561.444530035458	-290.1362698221361	-11561.444530035458	13.384967524562187	-285.89823267617317	0.1448614216676693	3.651292439876919	0.8274917097491016	2.90916351795197	0.013968634664752459	2.3007747537771235	5.809546894467164	0.21399452952027173	0.28109601706562004	0.2231583652996844	0.2817510881144238
